esl,cyp.area
-130,11625.48064
-129,11616.24541
-128,11606.85876
-127,11597.2961
-126,11587.53074
-125,11577.55843
-124,11567.38813
-123,11557.10071
-122,11546.7466
-121,11536.33036
-120,11525.8596
-119,11515.26447
-118,11504.511
-117,11493.67567
-116,11482.823
-115,11472.01476
-114,11461.15006
-113,11450.28725
-112,11439.32565
-111,11428.26226
-110,11416.97546
-109,11405.69018
-108,11394.23777
-107,11382.8459
-106,11371.38377
-105,11359.83814
-104,11348.21835
-103,11336.50704
-102,11324.71811
-101,11312.90409
-100,11301.01233
-99,11288.88513
-98,11276.70774
-97,11264.66552
-96,11252.63201
-95,11240.56469
-94,11228.43098
-93,11216.19302
-92,11203.81549
-91,11191.29847
-90,11178.6719
-89,11165.95667
-88,11153.17513
-87,11140.25878
-86,11127.19853
-85,11114.01515
-84,11100.69719
-83,11087.25412
-82,11073.66821
-81,11059.9753
-80,11046.2269
-79,11032.34053
-78,11018.3945
-77,11004.36866
-76,10990.00585
-75,10975.65918
-74,10961.20224
-73,10946.61444
-72,10931.90189
-71,10916.98388
-70,10901.83396
-69,10886.47628
-68,10871.08612
-67,10855.58284
-66,10839.92597
-65,10823.98149
-64,10807.98475
-63,10792.10769
-62,10776.3163
-61,10760.53166
-60,10744.75575
-59,10728.51518
-58,10712.81931
-57,10697.22622
-56,10681.66138
-55,10665.87265
-54,10649.9468
-53,10633.83289
-52,10617.45849
-51,10601.26541
-50,10584.88144
-49,10567.57273
-48,10550.86361
-47,10533.9273
-46,10516.89706
-45,10499.78748
-44,10482.57517
-43,10465.113
-42,10447.62085
-41,10430.04557
-40,10412.10565
-39,10394.08121
-38,10376.13683
-37,10357.8268
-36,10339.78861
-35,10321.55991
-34,10303.02303
-33,10284.00446
-32,10264.90442
-31,10245.43132
-30,10225.39322
-29,10205.36188
-28,10184.94322
-27,10164.12298
-26,10142.71966
-25,10120.76142
-24,10098.17167
-23,10073.88025
-22,10049.91427
-21,10024.66449
-20,9997.786037
-19,9969.201068
-18,9938.965137
-17,9905.770374
-16,9871.462772
-15,9834.826482
-14,9796.437148
-13,9756.60207
-12,9715.697624
-11,9673.482253
-10,9629.609928
-9,9584.140701
-8,9535.647212
-7,9483.623527
-6,9427.524373
-5,9366.674348
-4,9310.025013
-3,9259.801614
-2,9223.447225
-1,9194.784917
0,9123.56134